person,movie,rating
3,tt0110912,2
12,tt0110912,4
16,tt0110912,3
34,tt0110912,4
43,tt0110912,4
49,tt0110912,3
54,tt0110912,5
55,tt0110912,2
71,tt0110912,1
81,tt0110912,3
24,tt0109830,4
27,tt0109830,3
39,tt0109830,1
42,tt0109830,2
46,tt0109830,4
50,tt0109830,5
57,tt0109830,1
61,tt0109830,2
67,tt0109830,2
73,tt0109830,5
85,tt0109830,2
89,tt0109830,5
95,tt0109830,5
2,tt0317248,5
3,tt0317248,5
10,tt0317248,5
24,tt0317248,4
25,tt0317248,4
30,tt0317248,4
36,tt0317248,5
45,tt0317248,4
51,tt0317248,2
53,tt0317248,4
57,tt0317248,2
63,tt0317248,5
19,tt0118799,3
20,tt0118799,2
22,tt0118799,4
26,tt0118799,2
30,tt0118799,2
33,tt0118799,5
37,tt0118799,2
50,tt0118799,1
54,tt0118799,5
62,tt0118799,4
63,tt0118799,5
71,tt0118799,2
80,tt0118799,3
82,tt0118799,4
90,tt0118799,2
95,tt0118799,4
6,tt0064116,3
21,tt0064116,5
39,tt0064116,4
43,tt0064116,4
44,tt0064116,4
47,tt0064116,3
77,tt0064116,5
79,tt0064116,2
85,tt0064116,3
11,tt0102926,5
32,tt0102926,3
37,tt0102926,5
44,tt0102926,1
46,tt0102926,4
48,tt0102926,2
62,tt0102926,3
67,tt0102926,3
70,tt0102926,4
88,tt0102926,5
91,tt0102926,3
7,tt0043014,3
12,tt0043014,5
13,tt0043014,5
23,tt0043014,4
43,tt0043014,1
53,tt0043014,4
55,tt0043014,5
56,tt0043014,3
57,tt0043014,5
91,tt0043014,1
13,tt0103064,4
28,tt0103064,4
40,tt0103064,1
65,tt0103064,5
70,tt0103064,4
79,tt0103064,3
80,tt0103064,2
14,tt0095765,3
18,tt0095765,2
20,tt0095765,3
44,tt0095765,5
64,tt0095765,3
77,tt0095765,5
88,tt0095765,2
95,tt0095765,2
3,tt1853728,4
23,tt1853728,3
47,tt1853728,3
58,tt1853728,4
64,tt1853728,2
68,tt1853728,2
75,tt1853728,3
80,tt1853728,4
82,tt1853728,3
93,tt1853728,4
96,tt1853728,2
97,tt1853728,5
12,tt0169547,3
18,tt0169547,4
43,tt0169547,5
54,tt0169547,5
91,tt0169547,1
5,tt0405508,2
54,tt0405508,3
64,tt0405508,3
66,tt0405508,5
71,tt0405508,3
75,tt0405508,5
81,tt0405508,3
88,tt0405508,5
95,tt0405508,5
3,tt0211915,4
7,tt0211915,5
15,tt0211915,5
19,tt0211915,5
36,tt0211915,5
48,tt0211915,5
50,tt0211915,5
57,tt0211915,5
65,tt0211915,1
75,tt0211915,4
77,tt0211915,3
80,tt0211915,1
91,tt0211915,3
93,tt0211915,3
97,tt0211915,5
2,tt0364569,2
6,tt0364569,2
14,tt0364569,1
23,tt0364569,1
24,tt0364569,3
29,tt0364569,4
41,tt0364569,1
49,tt0364569,5
69,tt0364569,5
